source_material_id,source_material_id_orig,ref_code_seq,ref_code,nucl_acid_ext,nucl_acid_amp,lib_reads_seqd,lib_layout,target_gene,target_subfragment,ampl_size,pcr_primers,mid,adapters,pcr_cond,seq_quality_check,seq_meth,dna_conc,dna_conc_method,dna_quantity_after_extraction,analysis,run,reads_name,mock_pr,mock_eu,source_mat_id_an,url_seq,sop_seq
EMOBON_Italy_Ha_25,ARMS_RAVM3_20220428-20220718_SF40_A,DBQ_AAGA,EMOBON00655,Quick-DNA Fecal/soil,,2946837,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,0.752,,81.2,,,DBQ_AAGAOSTA_1_HLLHNDRX3.UDI014-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_26,ARMS_RAVM3_20220428-20220718_MF100_A,DBQ_AACR,EMOBON00656,Quick-DNA Fecal/soil,,5389526,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,18.3,,1976.4,,,DBQ_AACROSTA_1_HW5CMDRX3.UDI063-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_26,ARMS_RAVM3_20220428-20220718_MF100_A,DBQ_AAGB,EMOBON00656,Quick-DNA Fecal/soil,,3333212,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,18.3,,1976.4,,,DBQ_AAGBOSTA_1_HLLHNDRX3.UDI038-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_27,ARMS_RAVM3_20220428-20220718_MF500_A,DBQ_AADI,EMOBON00657,Quick-DNA Fecal/soil,,2543139,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,12.95,,1398.6,,,DBQ_AADIOSTA_1_HW5CMDRX3.UDI075-BID09,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_27,ARMS_RAVM3_20220428-20220718_MF500_A,DBQ_AAGS,EMOBON00657,Quick-DNA Fecal/soil,,1933498,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,12.95,,1398.6,,,DBQ_AAGSOSTA_1_HLLHNDRX3.UDI002-BID09,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_ROSKOGO_So_7,EMOBON_ROSKOGO_So_210923_macro_2,DBM_AABZ,EMOBON00658,Quick-DNA Fecal/soil,,4870371,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,7.92,,792,,,DBM_AABZOSTA_2_H5FGYDRX5.UDI340-BID01,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_ROSKOGO_So_7,EMOBON_ROSKOGO_So_210923_macro_2,DBM_AACN,EMOBON00658,Quick-DNA Fecal/soil,,5424530,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,7.92,,792,,,DBM_AACNOSTA_1_H3KVNDRX5.UDI314-BID01,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_ROSKOGO_So_21,EMOBON_ROSKOGO_So_220301_macro_1,DBM_AACA,EMOBON00659,Quick-DNA Fecal/soil,,7204503,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,4.22,,422,,,DBM_AACAOSTA_2_H5FGYDRX5.UDI352-BID01,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_ROSKOGO_So_21,EMOBON_ROSKOGO_So_220301_macro_1,DBM_AACO,EMOBON00659,Quick-DNA Fecal/soil,,4862193,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,4.22,,422,,,DBM_AACOOSTA_1_H3KVNDRX5.UDI326-BID01,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_ROSKOGO_So_22,EMOBON_ROSKOGO_So_220301_macro_2,DBM_AACB,EMOBON00660,Quick-DNA Fecal/soil,,6838998,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,4.22,,422,,,DBM_AACBOSTA_2_H5FGYDRX5.UDI364-BID01,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_ROSKOGO_So_22,EMOBON_ROSKOGO_So_220301_macro_2,DBM_AACP,EMOBON00660,Quick-DNA Fecal/soil,,6429172,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,4.22,,422,,,DBM_AACPOSTA_1_H3L7NDRX5.UDI338-BID01,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_1,Roscoff_BasBIo_S1_200529-210518_MF100,DBQ_AACW,EMOBON00661,Quick-DNA Fecal/soil,,2397374,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,23.5,,2538,,,DBQ_AACWOSTA_1_HW5CMDRX3.UDI015-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_1,Roscoff_BasBIo_S1_200529-210518_MF100,DBQ_AAGG,EMOBON00661,Quick-DNA Fecal/soil,,1762596,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,23.5,,2538,,,DBQ_AAGGOSTA_1_HLLHNDRX3.UDI026-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_2,Roscoff_BasBIo_S1_200529-210518_MF500,DBQ_AACX,EMOBON00662,Quick-DNA Fecal/soil,,2186852,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,61.9,,6685.2,,,DBQ_AACXOSTA_1_HW5CMDRX3.UDI039-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_2,Roscoff_BasBIo_S1_200529-210518_MF500,DBQ_AAGH,EMOBON00662,Quick-DNA Fecal/soil,,2182083,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,61.9,,6685.2,,,DBQ_AAGHOSTA_1_HLLHNDRX3.UDI085-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_3,Roscoff_BasBIo_S1_200529-210518_SFA,DBQ_AACY,EMOBON00663,Quick-DNA Fecal/soil,,1699863,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,1.225,,132.3,,,DBQ_AACYOSTA_1_HW5CMDRX3.UDI051-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_3,Roscoff_BasBIo_S1_200529-210518_SFA,DBQ_AAGI,EMOBON00663,Quick-DNA Fecal/soil,,2279193,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,1.225,,132.3,,,DBQ_AAGIOSTA_2_HW5CMDRX3.UDI050-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_4,Roscoff_BasBIo_S2_200529-210519_MF100,DBQ_AACZ,EMOBON00664,Quick-DNA Fecal/soil,,3012995,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,21.4,,2311.2,,,DBQ_AACZOSTA_1_HW5CMDRX3.UDI063-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_4,Roscoff_BasBIo_S2_200529-210519_MF100,DBQ_AAGJ,EMOBON00664,Quick-DNA Fecal/soil,,1842429,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,21.4,,2311.2,,,DBQ_AAGJOSTA_1_HLLHNDRX3.UDI002-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_5,Roscoff_BasBIo_S2_200529-210519_MF500,DBQ_AACS,EMOBON00665,Quick-DNA Fecal/soil,,3290729,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,57.7,,6231.6,,,DBQ_AACSOSTA_1_HW5CMDRX3.UDI075-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_5,Roscoff_BasBIo_S2_200529-210519_MF500,DBQ_AAGC,EMOBON00665,Quick-DNA Fecal/soil,,1927786,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,57.7,,6231.6,,,DBQ_AAGCOSTA_2_HW5CMDRX3.UDI062-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_6,Roscoff_BasBIo_S2_200529-210519_SFA,DBQ_AACT,EMOBON00666,Quick-DNA Fecal/soil,,3312411,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,5.69,,614.5,,,DBQ_AACTOSTA_1_HW5CMDRX3.UDI087-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_6,Roscoff_BasBIo_S2_200529-210519_SFA,DBQ_AAGD,EMOBON00666,Quick-DNA Fecal/soil,,3237925,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,5.69,,614.5,,,DBQ_AAGDOSTA_2_HW5CMDRX3.UDI050-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_7,Roscoff_BasBIo_S3_200529-210519_MF100,DBQ_AACU,EMOBON00667,Quick-DNA Fecal/soil,,2201570,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,52.6,,5680.8,,,DBQ_AACUOSTA_1_HW5CMDRX3.UDI086-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_7,Roscoff_BasBIo_S3_200529-210519_MF100,DBQ_AAGE,EMOBON00667,Quick-DNA Fecal/soil,,1853637,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,52.6,,5680.8,,,DBQ_AAGEOSTA_2_HW5CMDRX3.UDI062-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_8,Roscoff_BasBIo_S3_200529-210519_MF500,DBQ_AACV,EMOBON00668,Quick-DNA Fecal/soil,,2109342,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,28.3,,3056.4,,,DBQ_AACVOSTA_1_HW5CMDRX3.UDI027-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_8,Roscoff_BasBIo_S3_200529-210519_MF500,DBQ_AAGF,EMOBON00668,Quick-DNA Fecal/soil,,2098199,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,28.3,,3056.4,,,DBQ_AAGFOSTA_2_HW5CMDRX3.UDI074-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_9,Roscoff_BasBIo_S3_200529-210519_SFA,DBQ_AADA,EMOBON00669,Quick-DNA Fecal/soil,,2005495,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,0.75,,81,,,DBQ_AADAOSTA_1_HW5CMDRX3.UDI075-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_9,Roscoff_BasBIo_S3_200529-210519_SFA,DBQ_AAGK,EMOBON00669,Quick-DNA Fecal/soil,,1151495,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,0.75,,81,,,DBQ_AAGKOSTA_1_HLLHNDRX3.UDI014-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_10,Roscoff_MarBIo_S1_210621-211011_MF100,DBQ_AADB,EMOBON00670,Quick-DNA Fecal/soil,,1631004,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,28.4,,3067.2,,,DBQ_AADBOSTA_1_HW5CMDRX3.UDI087-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_10,Roscoff_MarBIo_S1_210621-211011_MF100,DBQ_AAGL,EMOBON00670,Quick-DNA Fecal/soil,,2761752,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,28.4,,3067.2,,,DBQ_AAGLOSTA_1_HLLHNDRX3.UDI038-BID08,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_11,Roscoff_MarBIo_S1_210621-211011_MF500,DBQ_AADC,EMOBON00671,Quick-DNA Fecal/soil,,1849848,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,18.85,,2035.8,,,DBQ_AADCOSTA_1_HW5CMDRX3.UDI086-BID09,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_11,Roscoff_MarBIo_S1_210621-211011_MF500,DBQ_AAGM,EMOBON00671,Quick-DNA Fecal/soil,,2514625,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,18.85,,2035.8,,,DBQ_AAGMOSTA_2_HW5CMDRX3.UDI062-BID09,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Roskogo_Ha_12,Roscoff_MarBIo_S1_210621-211011_SFA,DBQ_AADD,EMOBON00672,Quick-DNA Fecal/soil,,1606572,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,0.465,,50.2,,,DBQ_AADDOSTA_1_HW5CMDRX3.UDI027-BID09,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
