old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_MBAL4_Wa_220912_3um_2,EMOBON00318,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_52
EMOBON_MBAL4_Wa_220912_0.2um_1,EMOBON00319,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_53
EMOBON_MBAL4_Wa_220912_0.2um_2,EMOBON00320,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_54
EMOBON_AAOT_Wa_220214_3um_1,EMOBON00321,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_81
EMOBON_AAOT_Wa_220214_3um_2,EMOBON00322,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_82
EMOBON_AAOT_Wa_220214_0.2um_1,EMOBON00323,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_86
EMOBON_AAOT_Wa_220214_0.2um_2,EMOBON00324,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_87
EMOBON_AAOT_Wa_220411_3um_1,EMOBON00325,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_101
EMOBON_AAOT_Wa_220411_3um_2,EMOBON00326,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_102
EMOBON_AAOT_Wa_220411_0.2um_1,EMOBON00327,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_106
EMOBON_AAOT_Wa_220411_0.2um_2,EMOBON00328,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_107
EMOBON_AAOT_Wa_220613_3um_1,EMOBON00329,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_121
EMOBON_AAOT_Wa_220613_3um_2,EMOBON00330,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_122
EMOBON_AAOT_Wa_220613_0.2um_1,EMOBON00331,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_126
EMOBON_AAOT_Wa_220613_0.2um_2,EMOBON00332,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_127
EMOBON_AAOT_Wa_220804_3um_1,EMOBON00333,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_141
EMOBON_AAOT_Wa_220804_3um_2,EMOBON00334,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_142
